ID,Scene,Exact Scene,Character,Situation Name,Text,Emotion,Trigger
DESI_INT_CH0_0000,Desivinte interaction,Desivinte interacts with nothing,,INTER-DESIV-0000,"Desivinte shouted into the void,",,
DESI_INT_CH0_0001,Desivinte interaction,Desivinte interacts with nothing,,INTER-DESIV-0000,...,,
DESI_INT_CH0_0002,Desivinte interaction,Desivinte interacts with nothing,,INTER-DESIV-0000,...no one answered.,,
DESI_INT_CH0_0003,Desivinte interaction,Desivinte interacts with nothing,,INTER-DESIV-0000,He seemed embarrassed.,,
DESI_INT_CH0_0004,,,,,,,
DESI_INT_CH0_0005,,,,,,,
DESI_INT_CH0_0006,,,,,,,
DESI_INT_CH0_0007,,,,,,,
DESI_INT_CH0_0008,,,,,,,
DESI_INT_CH0_0009,,,,,,,
DESI_INT_CH0_0010,,,,,,,
DESI_INT_CH0_0011,,,,,,,
DESI_INT_CH0_0012,,,,,,,
DESI_INT_CH0_0013,,,,,,,
DESI_INT_CH0_0014,,,,,,,
DESI_INT_CH0_0015,,,,,,,
DESI_INT_CH0_0016,,,,,,,
DESI_INT_CH0_0017,,,,,,,
DESI_INT_CH0_0018,,,,,,,
DESI_INT_CH0_0019,,,,,,,
DESI_INT_CH0_0020,,,,,,,
DESI_INT_CH0_0021,,,,,,,
DESI_INT_CH0_0022,,,,,,,
DESI_INT_CH0_0023,,,,,,,
DESI_INT_CH0_0024,,,,,,,
DESI_INT_CH0_0025,,,,,,,
DESI_INT_CH0_0026,,,,,,,
DESI_INT_CH0_0027,,,,,,,
DESI_INT_CH0_0028,,,,,,,
DESI_INT_CH0_0029,,,,,,,
DESI_INT_CH0_0030,,,,,,,
DESI_INT_CH0_0031,,,,,,,
DESI_INT_CH0_0032,,,,,,,
