ID,Scene,Exact Scene,Character,Situation Name,Text,Emotion,Trigger
MENU-0000,Intro,Intro Welcome,The Librarian,INTRO-00,Ladies and gentlepeople...,None,
MENU-0001,Intro,Intro Welcome,The Librarian,INTRO-00,Welcome everyone...,None,
MENU-0002,Intro,Intro Welcome,The Librarian,INTRO-00,to a once in a lifetime experience at the greatest library in the observable universe...,None,eyes_open
MENU-0003,Intro,Intro Welcome,The Librarian,INTRO-00,You'll be greeted by the biggest library that has ever existed!,None,
MENU-0004,Intro,Intro Welcome,The Librarian,INTRO-00,Better than anything the universe has ever seen!,None,
MENU-0005,Intro,Intro Welcome,The Librarian,INTRO-00,You won't find a prettier...,None,
MENU-0006,Intro,Intro Welcome,The Librarian,INTRO-00,GRANDER...,None,
MENU-0007,Intro,Intro Welcome,The Librarian,INTRO-00,GIGANTIC...,None,
MENU-0008,Intro,Intro Welcome,The Librarian,INTRO-00,-er...,None,
MENU-0009,Intro,Intro Welcome,The Librarian,INTRO-00,library....,None,
MENU-0010,Intro,Intro Welcome,The Librarian,INTRO-00,ANYWHERE ELSE!,None,
MENU-0011,Intro,Intro Welcome,The Librarian,INTRO-00,IN. THE. UNIVERSE.,None,
MENU-0012,Intro,Intro Welcome,The Librarian,INTRO-00,So EEENJOOOY yourselves...,None,
MENU-0013,Intro,Intro Welcome,The Librarian,INTRO-00,Here...,None,
MENU-0014,Intro,Intro Welcome,The Librarian,INTRO-00,At the DWELLING MOON LIBRARY!,None,
MENU-0015,Intro,Intro Welcome,The Librarian,INTRO-01,We have all sorts of books here in this place.,None,intro1_first_panel
MENU-0016,Intro,Intro Welcome,The Librarian,INTRO-01,Stories told from all corners of the galaxy.,None,
MENU-0017,Intro,Intro Welcome,The Librarian,INTRO-01,"Tales that surround themselves in action and violence,",None,intro1_desivinte_panel
MENU-0018,Intro,Intro Welcome,The Librarian,INTRO-01,"tales that focus on companionship and the value of teamwork,",None,intro1_kathjules_panel
MENU-0019,Intro,Intro Welcome,The Librarian,INTRO-01,tales that want you to learn and grow along its characters. ,None,intro1_hetheline_panel
MENU-0020,Intro,Intro Welcome,The Librarian,INTRO-01,We have everything you could ever ask for.,None,
MENU-0021,Intro,Intro Welcome,The Librarian,INTRO-01,A little bit of everything...,None,
MENU-0022,Intro,Intro Welcome,The Librarian,INTRO-01,...for everyone.,None,
MENU-0023,Intro,Intro Welcome,The Librarian,INTRO-01,...take a good look at our great variety of books.,None,
MENU-0024,Intro,Intro Welcome,The Librarian,INTRO-01,You definitely won't regret it!,None,
MENU-0025,Intro,Intro Welcome,The Librarian,INTRO-02,"""What if I get bored?"" You might ask...",None,intro2_intro_panel
MENU-0026,Intro,Intro Welcome,The Librarian,INTRO-02,You surely won't!,None,
MENU-0027,Intro,Intro Welcome,The Librarian,INTRO-02,There's a little bit of everything to make everyone's experience just the greatest. ,None,
MENU-0028,Intro,Intro Welcome,The Librarian,INTRO-02,Anything I could offer you to make this experience all the more pleasant?,None,intro2_second_panel
MENU-0029,Intro,Intro Welcome,The Librarian,INTRO-02,We actually don't serve any of that garbage in here!,None,
MENU-0030,Intro,Intro Welcome,The Librarian,INTRO-02,I'm sure it won't be necessary!,None,intro2_second_cheer
MENU-0031,Intro,Intro Welcome,The Librarian,INTRO-02,(We ran out of stock a couple of weeks ago...),None,intro2_second_embarrassed
MENU-0032,Intro,Intro Welcome,The Librarian,INTRO-02,That surely won't be a problem!,None,intro2_second_joy
MENU-0033,Intro,Intro Welcome,The Librarian,INTRO-02,Oh! I'm sure these books will be great for your minds.,None,intro2_third_panel
MENU-0034,Intro,Intro Welcome,The Librarian,INTRO-02,They surely teach you a lot...,None,
MENU-0035,Intro,Intro Welcome,The Librarian,INTRO-02,About... Life...,None,
MENU-0036,Intro,Intro Welcome,The Librarian,INTRO-03,I think you've heard everything I could introduce you to!,None,intro3_fade_back
MENU-0037,Intro,Intro Welcome,The Librarian,INTRO-03,"Please, do us a favor and simply enjoy the place!",None,
