ID,Scene,Exact Scene,Character,Situation Name,Text,Emotion
MENU-0000,Intro,Intro,The Librarian,INTRO-00,Ladies and gentlepeople...,None
MENU-0001,Intro,Intro,The Librarian,INTRO-00,Welcome everyone...,None
MENU-0002,Intro,Intro,The Librarian,INTRO-00,to a once in a lifetime experience at The Dwelling Moon Library.,None
MENU-0003,Intro,Intro,The Librarian,INTRO-00,You'll be greeted by the biggest library that has ever existed!,None
MENU-0004,Intro,Intro,The Librarian,INTRO-00,Greater than anything the universe has ever seen!,None
MENU-0005,Intro,Intro,The Librarian,INTRO-00,You won't find a better...,None
MENU-0006,Intro,Intro,The Librarian,INTRO-00,GRANDER...,None
MENU-0007,Intro,Intro,The Librarian,INTRO-00,GIGANTIC...,None
MENU-0008,Intro,Intro,The Librarian,INTRO-00,-er...,None
MENU-0009,Intro,Intro,The Librarian,INTRO-00,library....,None
MENU-0010,Intro,Intro,The Librarian,INTRO-00,ANYWHERE ELSE!,None
MENU-0011,Intro,Intro,The Librarian,INTRO-00,IN. THE. UNIVERSE.,None
MENU-0012,Intro,Intro,The Librarian,INTRO-00,Anything I could offer you to make this experience all the more pleasant?,None
MENU-0013,Intro,Intro,The Librarian,INTRO-00,We don't serve any of that crap in here! ,None
MENU-0014,Intro,Intro,The Librarian,INTRO-00,(We ran out of stock a month ago...),None
MENU-0015,Intro,Intro,The Librarian,INTRO-00,So EEENJOOOY yourselves...,None
MENU-0016,Intro,Intro,The Librarian,INTRO-00,...and take a good look at the great variety of books we have here at The Dwelling Moon Library.,None
MENU-0017,Intro,Intro,The Librarian,INTRO-00,I'd especially recommend [REDACTED] over at that shelf!,None
MENU-0018,Intro,Intro,The Librarian,INTRO-00,But for now.... if you'd excuse my elegant persona...,None
MENU-0019,Intro,Intro,The Librarian,INTRO-00,... I'll be over at the corner playing some delightful MEEELOOODIEEES.,None
MENU-0020,Intro,Intro,The Librarian,INTRO-00,"And if you need anything else,",None
MENU-0021,Intro,Intro,The Librarian,INTRO-00,DOOON'T BOTHER ASKING!,None
MENU-0022,Intro,Intro,The Librarian,INTRO-00,...,None
MENU-0023,Intro,Intro,The Librarian,INTRO-00,I'm only kidding...,None
MENU-0024,Intro,Intro,The Librarian,INTRO-00,I'll be over at the grand piano if anything unexpected happens.,None
MENU-0025,Intro,Intro,The Librarian,INTRO-00,Please enjoy your STAAAY!,None
MENU-0026,Common,Random Comment(s),The Librarian,SINGL-00,Hope you're enjoying your STAAAY!,Cheerful
MENU-0027,Common,Random Comment(s),The Librarian,CHATS-00,"I can read this WHOOOLE book in 1,539729 seconds!!",Cheerful
MENU-0028,Common,Random Comment(s),The Librarian,CHATS-00,HBSUHBUWEBDUHBDHBE!!!,Locked in
MENU-0029,Common,Random Comment(s),The Librarian,CHATS-00,See!!,Cheerful
MENU-0030,Common,Random Comment(s),The Librarian,CHATS-01,This job can definitely get boring at times,Bored
MENU-0031,Common,Random Comment(s),The Librarian,CHATS-01,It's visitors like you that make it worth it!,Cheerful
MENU-0032,Common,Random Comment(s),The Librarian,CHATS-02,"JARONA!!
",Cheerful
MENU-0033,Common,Random Comment(s),The Librarian,CHATS-02,"What?!
",Confused
MENU-0034,Common,Random Comment(s),The Librarian,CHATS-02,"Isn’t that what the cool kids are saying??
",Confused
MENU-0035,Common,Random Comment(s),The Librarian,CHATS-03,This job sure is TIIIRESOME...,Bored
MENU-0036,Common,Random Comment(s),The Librarian,CHATS-04,You should try THAT book.,Serious
